#Frame      Mode1    Mode2
     876   -9.517   -0.090
     877   -9.884    1.965
     878   -9.433    1.359
     879   -9.029    2.590
     880   -7.574    2.214
     881   -6.769    0.583
     882   -4.626    2.145
     883   -5.398    3.183
     884   -4.894    2.078
     885   -4.936    2.765
     886   -4.545    3.255
     887   -3.824    3.171
     888   -4.244    4.424
     889   -6.687    4.637
     890   -6.446    3.206
     891   -6.211    2.718
     892   -5.112    4.605
     893   -6.719    3.258
     894   -6.360    3.993
     895   -6.293    2.556
     896   -7.176    2.671
     897   -7.865    2.927
     898   -7.137    2.052
     899   -7.237    1.395
     900   -5.393    3.189
     901   -7.629    3.511
     902   -8.206    3.339
     903   -6.543    2.939
     904   -7.403   -0.231
     905   -6.957   -2.068
     906   -6.859   -2.350
     907   -8.891   -0.155
     908   -8.854    0.813
     909   -7.385    1.258
     910   -7.101    2.522
     911   -5.706    1.307
     912   -5.480    1.300
     913   -5.593    3.172
     914   -4.779    2.974
     915   -6.646    1.184
     916   -6.486   -0.777
     917   -6.481    0.938
     918   -5.266    3.133
     919   -5.591    2.680
     920   -3.586    2.930
     921   -4.499    3.355
     922   -5.517    2.171
     923   -5.874    3.229
     924   -8.188    2.039
     925   -7.796    2.162
     926   -6.373    0.014
     927   -7.181    0.125
     928   -5.624    0.699
     929   -7.397   -0.188
     930   -9.172   -0.857
     931   -9.996   -1.375
     932   -8.512   -2.250
     933   -9.041   -2.599
     934   -9.356   -1.298
     935   -7.766   -0.423
     936   -9.660    0.561
     937  -11.029    0.883
     938  -10.126    1.018
     939   -9.900    1.715
     940   -9.119    3.913
     941   -9.624    3.232
     942  -10.620    3.564
     943  -11.609    1.511
     944  -11.797    1.738
     945  -10.071    2.267
     946   -8.831    3.596
     947  -12.014    1.979
     948  -12.295    0.225
     949  -12.074   -1.326
     950  -12.277    0.232
     951   -9.871   -0.166
     952   -9.788   -0.763
     953   -9.287    0.143
     954   -7.887    0.191
     955   -6.466    2.614
     956   -7.366    1.130
     957   -8.723    1.570
     958   -9.620   -0.265
     959   -6.044    1.306
     960   -4.699    2.574
     961   -5.222    3.298
     962   -5.111    1.835
     963   -5.535    2.439
     964   -6.238    2.180
     965   -8.989    0.714
     966   -8.094    2.947
     967   -5.465    5.522
     968   -8.389    3.743
     969   -8.927    2.992
     970   -9.226    2.898
     971   -7.605    3.899
     972   -8.641    1.526
     973   -9.125    1.851
     974   -6.928    3.252
     975   -6.564    3.267
     976   -6.332    3.143
     977   -7.188    4.050
     978   -5.895    2.098
     979   -8.011   -0.243
     980   -9.711   -0.337
     981   -9.573    0.912
     982   -7.852    2.839
     983   -8.606    2.078
     984   -7.652    3.241
     985   -7.349    3.460
     986   -9.089    3.434
     987   -6.592    2.494
     988   -5.265    1.160
     989   -6.876    1.354
     990   -7.413    2.597
