#Frame      Mode1    Mode2
     648   -1.767    1.179
     649    0.649    1.422
     650   -0.547    0.455
     651    1.296   -0.114
     652    1.131   -0.182
     653   -0.573    0.026
     654   -3.691   -0.991
     655   -5.683    0.245
     656   -4.771    1.793
     657   -2.514    0.689
     658   -2.803    1.207
     659   -1.416   -0.744
     660   -1.919   -1.353
     661   -1.237   -1.379
     662    0.785   -1.202
     663    1.341    1.154
     664    1.858    0.033
     665   -0.356   -0.155
     666    1.378    0.470
     667   -1.576    1.063
     668   -1.268    0.775
     669   -0.343    1.848
     670   -0.274    1.154
     671    0.558   -2.490
     672   -1.188   -4.050
     673   -2.763   -4.353
     674   -2.935   -3.494
     675   -0.703   -3.634
     676   -2.604   -2.514
     677   -1.628   -2.392
     678   -0.824   -0.999
     679   -0.729   -2.164
     680   -2.054   -4.686
     681   -3.157   -4.910
     682   -2.106   -2.355
     683   -3.697   -3.787
     684    0.787   -2.202
     685   -3.987   -0.646
     686   -2.849   -1.754
     687   -2.994   -0.790
     688   -2.386    0.373
     689   -1.550    1.689
     690   -0.898    1.231
     691   -2.910    1.587
     692   -1.728   -2.134
     693   -1.437   -3.057
     694    1.795   -2.947
     695    0.415   -4.416
     696    0.168   -4.734
     697    1.124   -5.428
     698    0.706   -5.120
     699    1.053   -6.257
     700    0.216   -5.121
     701    0.158   -4.994
     702   -0.009   -2.199
     703    0.074   -4.516
     704   -0.972   -3.886
     705    0.464   -4.837
     706   -1.552   -4.611
     707    0.332   -4.163
     708    1.340   -3.354
     709    1.926   -2.506
     710   -0.442   -2.071
     711    0.781   -4.690
     712   -0.592   -5.138
     713    1.036   -4.294
     714    0.710   -4.122
     715    0.223   -1.386
     716   -0.272   -3.729
     717    0.329   -4.442
     718    0.075   -4.147
     719    0.370   -2.321
     720    0.909   -3.231
     721    0.202   -4.840
     722    0.898   -6.227
     723    1.078   -6.282
     724    2.109   -6.375
     725   -0.580   -4.496
     726   -0.304   -4.954
     727    1.150   -5.534
     728    1.140   -3.897
     729    1.320   -4.985
     730   -0.735   -4.208
     731   -1.200   -3.991
     732   -0.450   -3.902
     733   -0.439   -4.608
     734    0.944   -5.107
     735    1.404   -3.576
     736   -1.064   -4.709
     737    0.385   -3.998
     738   -0.635   -3.771
     739    0.949   -1.917
     740    0.527   -2.252
     741    0.455   -2.752
     742    0.086   -2.194
     743    0.888   -2.730
     744    1.320   -1.704
     745    0.633   -1.403
     746    2.509   -2.228
     747    1.614   -1.302
     748    1.256   -2.493
     749    2.237   -2.570
     750    2.741   -2.409
     751    1.237   -0.177
     752    2.532   -2.992
     753    2.881   -4.967
     754    1.863   -3.696
     755    1.428   -3.677
     756    1.717   -0.756
     757    1.994   -1.285
     758    0.391   -2.356
     759    0.097   -4.575
     760   -0.368   -5.590
     761    0.738   -4.452
     762    1.442   -4.131
     763    0.422   -2.486
     764   -1.180   -0.634
     765   -1.438    0.073
     766   -0.486   -1.266
     767   -0.723   -2.131
     768   -4.016   -0.484
     769   -1.515   -3.684
     770   -0.652   -4.580
     771   -1.522   -2.300
     772   -2.033   -2.398
     773   -3.097   -2.774
     774   -0.847   -3.193
     775   -0.240   -2.197
     776    0.563   -5.032
     777    1.595   -3.643
     778    2.003   -4.523
     779    2.082   -5.327
     780    0.877   -3.231
     781   -0.362   -1.613
     782    1.028   -0.482
     783    0.887   -0.754
     784   -0.224   -2.605
     785   -0.720   -4.565
     786   -1.021   -5.824
     787    0.368   -5.184
     788    0.308   -5.128
     789    2.104   -4.942
     790    1.518   -2.471
     791    0.809   -3.643
     792    3.558   -4.183
     793    0.537   -4.178
     794    1.141   -2.710
     795    1.863   -1.849
     796    2.221   -3.113
     797    1.503   -2.463
     798    2.454   -1.303
     799    4.118   -2.573
     800    2.136   -3.161
     801    2.636   -2.112
     802    3.067   -2.455
     803    2.889   -2.908
     804    3.370   -1.532
     805    3.625   -4.403
     806    2.730   -3.468
     807    1.798   -3.971
     808    1.913   -4.098
     809    2.269   -3.163
     810    2.288   -4.620
     811    1.587   -1.580
     812    2.461   -2.565
     813    2.002   -1.325
     814    3.406   -1.253
     815    5.092   -0.842
     816    0.648   -0.834
     817   -0.712   -4.576
     818    2.111   -3.558
     819    1.913   -1.028
     820    3.190   -3.068
     821    4.900   -3.321
     822    6.069   -3.981
     823    3.156   -5.901
     824    1.065   -3.848
     825    1.148   -2.568
     826    0.593   -2.174
     827    1.205   -3.986
     828    1.495   -1.216
     829    2.375   -1.586
     830    1.193   -1.447
     831    1.562    0.010
     832    0.773   -0.695
     833   -1.078   -1.564
     834    0.416   -1.334
     835   -0.223   -2.665
     836   -0.159   -1.622
     837   -0.187   -0.667
     838   -0.378   -1.059
     839   -1.462   -1.552
     840   -2.381   -1.312
     841   -2.896   -4.504
     842   -1.646   -4.067
     843   -2.464   -4.883
     844   -2.505   -3.735
     845   -0.372   -3.484
     846    0.505   -3.631
     847    0.240   -2.454
     848   -0.773    0.071
     849   -0.631   -3.296
     850   -0.804   -0.660
     851    0.297   -1.152
     852    0.898   -1.053
     853   -1.286   -2.652
     854   -0.073   -2.370
     855    3.401   -2.716
     856    1.643   -1.511
     857   -0.820   -1.578
     858    2.674   -0.351
     859    1.238    0.289
     860    3.047    0.357
     861    4.328   -0.695
     862    1.636   -1.219
     863   -0.072   -0.165
     864   -0.001   -1.015
     865   -1.572   -3.210
     866   -1.825   -1.084
     867   -0.184   -0.696
     868   -0.680   -1.719
     869    0.284   -0.578
     870   -0.292   -2.370
     871   -0.536   -1.869
     872   -0.152   -2.472
     873    0.202   -3.395
     874   -0.428   -3.324
     875   -0.408   -3.698
     876   -0.011   -5.553
     877    0.309   -3.774
     878   -1.713   -2.630
     879   -1.445   -1.585
     880   -1.512   -3.030
     881   -0.685   -1.620
     882    0.967   -1.280
     883    1.032   -1.994
     884    0.983    1.018
     885   -0.683   -2.465
     886   -0.601   -0.450
     887   -0.696   -0.794
     888   -0.212   -0.274
     889    0.015    0.121
     890   -1.574   -0.343
     891   -0.756   -1.202
     892   -1.858    1.825
     893   -2.261    2.488
     894   -3.395    1.592
     895   -1.312   -0.165
     896   -0.271   -0.587
     897   -2.536   -0.601
     898   -1.006   -0.895
     899   -1.786   -0.383
     900   -2.345    2.003
     901   -1.553    2.379
     902   -0.059    2.581
     903   -1.658    1.745
     904   -1.260    0.413
     905    0.624    0.194
     906    1.247   -0.591
     907    1.949   -1.537
     908    0.732   -0.278
     909   -0.254   -0.844
     910    0.323   -1.480
     911    0.694   -1.748
     912    1.435    0.018
     913    0.897   -0.883
     914    1.261   -1.944
     915    0.933   -0.690
     916    2.098   -1.163
     917    1.815   -1.650
     918    0.418   -2.000
     919    1.118   -1.228
     920    0.633    0.622
     921    0.921   -1.385
     922    1.189   -0.853
     923   -0.456   -0.406
     924   -0.360   -1.781
     925    1.930   -1.508
     926    0.911   -0.287
     927    1.645   -2.797
     928    0.380   -0.749
     929    0.694   -3.114
     930   -1.312   -4.925
     931   -1.401   -3.346
     932    0.510   -2.491
     933    2.092   -5.044
     934    2.846   -3.343
     935    1.872   -3.772
     936    3.055   -3.239
     937    2.528   -0.537
     938    1.953   -1.564
     939    2.815   -2.987
     940    1.963   -2.133
     941    1.943   -2.574
     942    0.536   -4.549
     943    0.135   -3.222
     944    0.162   -1.344
     945   -0.603   -1.924
     946   -1.598   -5.537
     947   -1.801   -4.037
     948   -1.911   -4.287
     949   -3.210   -3.494
     950   -5.228   -1.919
     951   -6.486   -1.113
